short_name,long_name,age,dob,height_cm,weight_kg,nationality,club
Z. Ibrahimović,Zlatan Ibrahimović,37,1981-10-03,195,95,Sweden,LA Galaxy
A. Gómez,Alejandro Darío Gómez,31,1988-02-15,165,68,Argentina,Atalanta
G. Higuaín,Gonzalo Gerardo Higuaín,31,1987-12-10,186,89,Argentina,Juventus
B. Matuidi,Blaise Matuidi,32,1987-04-09,180,75,France,Juventus
G. Bale,Gareth Frank Bale,29,1989-07-16,185,82,Wales,Real Madrid
Marcelo,Marcelo Vieira da Silva Júnior,31,1988-05-12,174,75,Brazil,Real Madrid
A. Witsel,Axel  Witsel,30,1989-01-12,186,81,Belgium,Borussia Dortmund
Alex Sandro,Alex Sandro Lobo Silva,28,1991-01-26,180,80,Brazil,Juventus
Iago Aspas,Iago Aspas Juncal,31,1987-08-01,176,67,Spain,RC Celta
Koke,Jorge Resurrección Merodio,27,1992-01-08,176,74,Spain,Atlético Madrid
J. Rodríguez,James David Rodríguez Rubio,27,1991-07-12,180,75,Colombia,Real Madrid
Allan,Allan Marques Loureiro,28,1991-01-08,175,74,Brazil,Napoli
J. Sancho,Jadon Sancho,19,2000-03-25,180,76,England,Borussia Dortmund
K. Havertz,Kai Havertz,20,1999-06-11,188,83,Germany,Bayer 04 Leverkusen
O. Dembélé,Ousmane Dembélé,22,1997-05-15,178,67,France,FC Barcelona
Kepa,Kepa Arrizabalaga,24,1994-10-03,186,85,Spain,Chelsea
João Cancelo,João Pedro Cavaco Cancelo,25,1994-05-27,182,74,Portugal,Manchester City
D. Alli,Bamidele Alli,23,1996-04-11,188,80,England,Tottenham Hotspur
L. Hernández,Lucas Hernández,23,1996-02-14,182,76,France,FC Bayern München
Arthur,Arthur Henrique Ramos Oliveira Melo,22,1996-08-12,171,73,Brazil,FC Barcelona
M. Depay,Memphis Depay,25,1994-02-13,176,78,Netherlands,Olympique Lyonnais
L. Goretzka,Leon Goretzka,24,1995-02-06,189,79,Germany,FC Bayern München
J. Brandt,Julian Brandt,23,1996-05-02,185,83,Germany,Borussia Dortmund
K. Coman,Kingsley Coman,23,1996-06-13,179,75,France,FC Bayern München
S. Gnabry,Serge Gnabry,23,1995-07-14,175,75,Germany,FC Bayern München
N. Fekir,Nabil Fekir,25,1993-07-18,173,75,France,Real Betis
B. Leno,Bernd Leno,27,1992-03-04,190,83,Germany,Arsenal
Luis Alberto,Luis Alberto Romero Alconchel,26,1992-09-28,183,74,Spain,Lazio
Alex Telles,Alex Nicolao Telles,26,1992-12-15,181,71,Brazil,FC Porto
J. Pavlenka,Jiří Pavlenka,27,1992-04-14,196,81,Czech Republic,SV Werder Bremen
S. de Vrij,Stefan de Vrij,27,1992-02-05,189,78,Netherlands,Inter
Felipe Anderson,Felipe  Anderson Pereira Gomes,26,1993-04-15,175,70,Brazil,West Ham United
Pepe,Képler Laveran Lima Ferreira,36,1983-02-26,188,81,Portugal,FC Porto
João Moutinho,João Filipe Iria Santos Moutinho,32,1986-09-08,170,61,Portugal,Wolverhampton Wanderers
S. Ruffier,Stéphane Ruffier,32,1986-09-27,188,93,France,AS Saint-Étienne
S. Sirigu,Salvatore Sirigu,32,1987-01-12,192,80,Italy,Torino
M. Hamšík,Marek Hamšík,31,1987-07-27,183,73,Slovakia,Dalian YiFang FC
Sokratis,Sokratis Papastathopoulos,31,1988-06-09,186,85,Greece,Arsenal
Lucas Leiva,Lucas  Pezzini Leiva,32,1987-01-09,179,78,Brazil,Lazio
M. Özil,Mesut Özil,30,1988-10-15,180,76,Germany,Arsenal
Javi Martínez,Javier Martínez Aginaga,30,1988-09-02,192,86,Spain,FC Bayern München
Y. Sommer,Yann Sommer,30,1988-12-17,183,79,Switzerland,Borussia Mönchengladbach
E. Džeko,Edin Džeko,33,1986-03-17,193,80,Bosnia Herzegovina,Roma
G. Wijnaldum,Georginio Wijnaldum,28,1990-11-11,175,69,Netherlands,Liverpool
I. Perišić,Ivan Perišić,30,1989-02-02,186,80,Croatia,FC Bayern München
M. Mandžukić,Mario Mandžukić,33,1986-05-21,190,85,Croatia,Juventus
A. Vidal,Arturo Vidal,32,1987-05-22,180,75,Chile,FC Barcelona
J. Boateng,Jérôme Boateng,30,1988-09-03,192,90,Germany,FC Bayern München
Azpilicueta,César Azpilicueta Tanco,29,1989-08-28,178,76,Spain,Chelsea
José Callejón,José María Callejón Bueno,32,1987-02-11,178,73,Spain,Napoli
I. Gündoğan,İlkay Gündoğan,28,1990-10-24,180,80,Germany,Manchester City
Paulinho,José Paulo Bezzera Maciel Júnior,30,1988-07-25,183,80,Brazil,Guangzhou Evergrande Taobao FC
K. Walker,Kyle Walker,29,1990-05-28,183,70,England,Manchester City
Canales,Sergio Canales Madrazo,28,1991-02-16,176,65,Spain,Real Betis
Douglas Costa,Douglas Costa de Souza,28,1990-09-14,172,70,Brazil,Juventus
Pizzi,Luís Miguel Afonso Fernandes,29,1989-10-06,177,72,Portugal,SL Benfica
D. Tadić,Dušan Tadić,30,1988-11-20,181,76,Serbia,Ajax
J. Iličić,Josip Iličić,31,1988-01-29,190,79,Slovenia,Atalanta
R. Mahrez,Riyad Mahrez,28,1991-02-21,179,67,Algeria,Manchester City
E. Višća,Edin Višća,29,1990-02-17,172,63,Bosnia Herzegovina,Medipol Başakşehir FK
Felipe,Felipe Augusto de Almeida Monteiro,30,1989-05-16,190,83,Brazil,Atlético Madrid
Fabián,Fabián Ruiz Peña,23,1996-04-03,189,70,Spain,Napoli
A. Romagnoli,Alessio Romagnoli,24,1995-01-12,188,78,Italy,Milan
G. Lo Celso,Giovani Lo Celso,23,1996-04-09,177,68,Argentina,Tottenham Hotspur
T. Alexander-Arnold,Trent Alexander-Arnold,20,1998-10-07,180,69,England,Liverpool
L. Jović,Luka Jović,21,1997-12-23,182,85,Serbia,Real Madrid
A. Milik,Arkadiusz Milik,25,1994-02-28,186,78,Poland,Napoli
A. Martial,Anthony Martial,23,1995-12-05,184,76,France,Manchester United
Anderson Talisca,Anderson Souza Conceição,25,1994-02-01,190,80,Brazil,Guangzhou Evergrande Taobao FC
J. Tah,Jonathan Tah,23,1996-02-11,195,97,Germany,Bayer 04 Leverkusen
C. Tolisso,Corentin Tolisso,24,1994-08-03,181,81,France,FC Bayern München
Pau López,Pau López Sabata,24,1994-12-13,189,77,Spain,Roma
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,1996-11-29,179,68,Portugal,Valencia CF
N. Pépé,Nicolas Pépé,24,1995-05-29,183,73,Ivory Coast,Arsenal
M. Akanji,Manuel Obafemi Akanji,23,1995-07-19,187,91,Switzerland,Borussia Dortmund
M. Rashford,Marcus Rashford,21,1997-10-31,186,70,England,Manchester United
J. Stones,John Stones,25,1994-05-28,188,70,England,Manchester City
A. Rabiot,Adrien Rabiot,24,1995-04-03,192,80,France,Juventus
Grimaldo,Alejandro Grimaldo García,23,1995-09-20,171,69,Spain,SL Benfica
T. Werner,Timo Werner,23,1996-03-06,180,75,Germany,RB Leipzig
T. Lemar,Thomas Lemar,23,1995-11-12,171,62,France,Atlético Madrid
D. Sánchez,Davinson Sánchez,23,1996-06-12,187,79,Colombia,Tottenham Hotspur
Marco Asensio,Marco Asensio Willemsen,23,1996-01-21,182,76,Spain,Real Madrid
L. Digne,Lucas Digne,25,1993-07-20,178,74,France,Everton
J. Draxler,Julian Draxler,25,1993-09-20,187,77,Germany,Paris Saint-Germain
J. Pickford,Jordan Pickford,25,1994-03-07,185,77,England,Everton
Y. Carrasco,Yannick Ferreira Carrasco,25,1993-09-04,180,71,Belgium,Dalian YiFang FC
Borja Iglesias,Borja Iglesias Quintas,26,1993-01-17,187,86,Spain,Real Betis
K. Casteels,Koen Casteels,27,1992-06-25,197,86,Belgium,VfL Wolfsburg
W. Zaha,Wilfried Zaha,26,1992-11-10,180,66,Ivory Coast,Crystal Palace
Paco Alcácer,Francisco Alcácer García,25,1993-08-30,175,72,Spain,Borussia Dortmund
Morata,Álvaro Borja Morata Martín,26,1992-10-23,189,84,Spain,Atlético Madrid
S. Haller,Sébastien Haller,25,1994-06-22,190,82,France,West Ham United
William Carvalho,William Silva de Carvalho,27,1992-04-07,187,83,Portugal,Real Betis
F. Bernardeschi,Federico Bernardeschi,25,1994-02-16,185,77,Italy,Juventus
D. Djené,Djené Dakonam Ortega,27,1991-12-31,178,72,Togo,Getafe CF
Oscar,Oscar dos Santos Emboaba Júnior,27,1991-09-09,181,71,Brazil,Shanghai SIPG FC
K. Trapp,Kevin Trapp,28,1990-07-08,189,86,Germany,Eintracht Frankfurt
Bartra,Marc Bartra Aregall,28,1991-01-15,184,73,Spain,Real Betis
Pablo Sarabia,Pablo Sarabia García,27,1992-05-11,174,70,Spain,Paris Saint-Germain
J. Cillessen,Jasper Cillessen,30,1989-04-22,185,83,Netherlands,Valencia CF
Lucas Moura,Lucas Rodrigues M. Silva,26,1992-08-13,174,70,Brazil,Tottenham Hotspur
F. Thauvin,Florian Thauvin,26,1993-01-26,179,70,France,Olympique de Marseille
Jorginho,Luiz Frello Filho Jorge,27,1991-12-20,180,67,Italy,Chelsea
G. Buffon,Gianluigi Buffon,41,1978-01-28,192,92,Italy,Juventus
Casillas,Iker Casillas Fernández,38,1981-05-20,185,84,Spain,FC Porto
R. Jarstein,Rune  Almenning Jarstein,34,1984-09-29,190,86,Norway,Hertha BSC
V. Kompany,Vincent Kompany,33,1986-04-10,190,85,Belgium,RSC Anderlecht
Raúl Albiol,Raúl Albiol Tortajada,33,1985-09-04,190,82,Spain,Villarreal CF
F. Quagliarella,Fabio Quagliarella,36,1983-01-31,180,79,Italy,Sampdoria
K. Schmeichel,Kasper Schmeichel,32,1986-11-05,189,89,Denmark,Leicester City
Falcao,Radamel Falcao García Zárate,33,1986-02-10,177,72,Colombia,AS Monaco
Miranda,João Miranda de Souza Filho,34,1984-09-07,186,78,Brazil,Jiangsu Suning FC
C. Vela,Carlos Alberto Vela Garrido,30,1989-03-01,177,77,Mexico,Los Angeles FC
E. Garay,Ezequiel Marcelo Garay,32,1986-10-10,189,90,Argentina,Valencia CF
Rui Patrício,Rui Pedro dos Santos Patrício,31,1988-02-15,190,84,Portugal,Wolverhampton Wanderers
R. Nainggolan,Radja Nainggolan,31,1988-05-04,176,77,Belgium,Cagliari
E. Banega,Éver Maximiliano David Banega,31,1988-06-29,174,71,Argentina,Sevilla FC
Diego Costa,Diego da Silva Costa,30,1988-10-07,188,86,Spain,Atlético Madrid
S. Khedira,Sami Khedira,32,1987-04-04,189,90,Germany,Juventus
David Luiz,David Luiz Moreira Marinho,32,1987-04-22,189,86,Brazil,Arsenal
M. Kruse,Max Kruse,31,1988-03-19,180,76,Germany,Fenerbahçe SK
J. Henderson,Jordan Brian Henderson,29,1990-06-17,182,80,England,Liverpool
G. Sigurðsson,Gylfi Þór Sigurðsson,29,1989-09-08,186,77,Iceland,Everton
A. Ramsey,Aaron Ramsey,28,1990-12-26,183,76,Wales,Juventus
Illarramendi,Asier Illarramendi Andonegi,29,1990-03-08,179,75,Spain,Real Sociedad
D. Blind,Daley Blind,29,1990-03-09,180,72,Netherlands,Ajax
L. Hrádecký,Lukáš Hrádecký,29,1989-11-24,192,85,Finland,Bayer 04 Leverkusen
N. Otamendi,Nicolás Hernán Otamendi,31,1988-02-12,183,81,Argentina,Manchester City
J. Cuadrado,Juan Cuadrado,31,1988-05-26,179,72,Colombia,Juventus
I. Gueye,Idrissa Gana Gueye,29,1989-09-26,174,66,Senegal,Paris Saint-Germain
K. Kampl,Kevin Kampl,28,1990-10-09,178,67,Slovenia,RB Leipzig
Rodrigo,Rodrigo Moreno Machado,28,1991-03-06,182,77,Spain,Valencia CF
C. Aránguiz,Charles Mariano Aránguiz Sandoval,30,1989-04-17,171,70,Chile,Bayer 04 Leverkusen
W. Ben Yedder,Wissam Ben Yedder,28,1990-08-12,170,68,France,AS Monaco
F. Acerbi,Francesco Acerbi,31,1988-02-10,192,88,Italy,Lazio
Danilo Pereira,Danilo Luís Hélio Pereira,27,1991-09-09,188,83,Portugal,FC Porto
A. Kramarić,Andrej Kramarić,28,1991-06-19,177,73,Croatia,TSG 1899 Hoffenheim
Louri Beretta,Lourival Adnan Beretta Barbosa,27,1992-02-29,188,83,Brazil,Atlético Mineiro
Josué Chiamulera,Josué Durval Chiamulera Vaz,27,1992-02-29,185,80,Brazil,Grêmio
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,27,1992-02-29,177,75,Brazil,Grêmio
Oyarzabal,Mikel Oyarzabal Ugarte,22,1997-04-21,181,78,Spain,Real Sociedad
L. Bailey,Leon Bailey Butler,21,1997-08-09,178,79,Jamaica,Bayer 04 Leverkusen
Gabriel Jesus,Gabriel Fernando de Jesus,22,1997-04-03,175,73,Brazil,Manchester City
M. Kovačić,Mateo Kovačić,25,1994-05-06,176,78,Croatia,Chelsea
A. Belotti,Andrea Belotti,25,1993-12-20,181,72,Italy,Torino
T. Strakosha,Thomas Strakosha,24,1995-03-19,193,78,Albania,Lazio
N. Keïta,Naby Keïta,24,1995-02-10,172,64,Guinea,Liverpool
L. Torreira,Lucas Torreira Di Pascua,23,1996-02-11,168,64,Uruguay,Arsenal
Rúben Neves,Rúben Diogo da Silva Neves,22,1997-03-13,180,80,Portugal,Wolverhampton Wanderers
P. Kimpembe,Presnel Kimpembe,23,1995-08-13,189,80,France,Paris Saint-Germain
S. Bergwijn,Steven Bergwijn,21,1997-10-08,178,78,Netherlands,PSV
A. Onana,André Onana,23,1996-04-02,187,93,Cameroon,Ajax
Nélson Semedo,Nélson Cabral Semedo,25,1993-11-16,177,67,Portugal,FC Barcelona
A. Areola,Alphonse Areola,26,1993-02-27,195,94,France,Paris Saint-Germain
M. Perin,Mattia Perin,26,1992-11-10,188,77,Italy,Juventus
D. Rugani,Daniele Rugani,24,1994-07-29,190,84,Italy,Juventus
A. Correa,Ángel Correa,24,1995-03-09,171,68,Argentina,Atlético Madrid
Iñaki Williams,Iñaki Williams Arthuer,25,1994-06-15,186,79,Spain,Athletic Club de Bilbao
H. Lozano,Hirving Rodrigo Lozano Bahena,23,1995-07-30,175,70,Mexico,PSV
Gelson Martins,Gelson Dany Batalha Martins,24,1995-05-11,173,74,Portugal,AS Monaco
B. Lecomte,Benjamin Lecomte,28,1991-04-26,186,78,France,AS Monaco
T. Partey,Thomas Partey,26,1993-06-13,185,77,Ghana,Atlético Madrid
K. Demirbay,Kerem Demirbay,25,1993-07-03,182,72,Germany,Bayer 04 Leverkusen
J. Matip,Joël Andre Job Matip,27,1991-08-08,194,90,Cameroon,Liverpool
Suso,Jesús Joaquín Fernández Sáez,25,1993-11-19,176,70,Spain,Milan
S. Savić,Stefan Savić,28,1991-01-08,187,79,Montenegro,Atlético Madrid
A. Rüdiger,Antonio Rüdiger,26,1993-03-03,190,85,Germany,Chelsea
Pacheco,Fernando Pacheco Flores,27,1992-05-18,186,81,Spain,Deportivo Alavés
Ricardo Pereira,Ricardo Barbosa Pereira,25,1993-10-06,175,70,Portugal,Leicester City
N. Tagliafico,Nicolás Alejandro Tagliafico,26,1992-08-31,172,65,Argentina,Ajax
David Soria,David Soria Solís,26,1993-04-04,192,85,Spain,Getafe CF
Sergio Asenjo,Sergio  Asenjo Andrés,30,1989-06-28,189,87,Spain,Villarreal CF
Muniain,Iker Muniain Goñi,26,1992-12-19,170,66,Spain,Athletic Club de Bilbao
M. Götze,Mario Götze,27,1992-06-03,176,75,Germany,Borussia Dortmund
T. Delaney,Thomas Delaney,27,1991-09-03,182,79,Denmark,Borussia Dortmund
O. Baumann,Oliver Baumann,29,1990-06-02,187,82,Germany,TSG 1899 Hoffenheim
Willian José,Willian José da Silva,27,1991-11-23,189,93,Brazil,Real Sociedad
Sergi Roberto,Sergio Roberto Carnicer,27,1992-02-07,178,68,Spain,FC Barcelona
N. Schulz,Nico Schulz,26,1993-04-01,181,83,Germany,Borussia Dortmund
K. Volland,Kevin Volland,26,1992-07-30,179,83,Germany,Bayer 04 Leverkusen
Nacho Fernández,José Ignacio Fernández Iglesias,29,1990-01-18,180,76,Spain,Real Madrid
Gabriel Paulista,Gabriel Armando de Abreu,28,1990-11-26,187,79,Brazil,Valencia CF
J. Roussillon,Jérôme Roussillon,26,1993-01-06,175,80,France,VfL Wolfsburg
H. Maguire,Harry Maguire,26,1993-03-05,194,100,England,Manchester United
T. Hazard,Thorgan Hazard,26,1993-03-29,175,71,Belgium,Borussia Dortmund
E. Forsberg,Emil Forsberg,27,1991-10-23,179,74,Sweden,RB Leipzig
F. Kostić,Filip Kostić,26,1992-11-01,184,82,Serbia,Eintracht Frankfurt
M. Politano,Matteo Politano,25,1993-08-03,171,67,Italy,Inter
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,26,1993-05-17,172,66,Portugal,SL Benfica
Pepe Reina,José Manuel  Reina Páez,36,1982-08-31,188,92,Spain,Milan
D. De Rossi,Daniele De Rossi,35,1983-07-24,184,83,Italy,Boca Juniors
Aduriz,Aritz Aduriz Zubeldia,38,1981-02-11,182,78,Spain,Athletic Club de Bilbao
Jesús Navas,Jesús Navas González,33,1985-11-21,170,60,Spain,Sevilla FC
Santi Cazorla,Santiago Cazorla González,34,1984-12-13,168,65,Spain,Villarreal CF
H. Herrera,Héctor Miguel Herrera López,29,1990-04-19,185,80,Mexico,Atlético Madrid
L. Biglia,Lucas Rodrigo Biglia,33,1986-01-30,178,63,Argentina,Milan
L. Fabiański,Łukasz Fabiański,34,1985-04-18,190,83,Poland,West Ham United
E. Viviano,Emiliano Viviano,33,1985-12-01,195,90,Italy,Sporting CP
Juan Mata,Juan Manuel Mata García,31,1988-04-28,170,63,Spain,Manchester United
O. Giroud,Olivier Giroud,32,1986-09-30,193,92,France,Chelsea
S. Kjær,Simon Thorup Kjær,30,1989-03-26,191,84,Denmark,Sevilla FC
Willian,Willian Borges da Silva,30,1988-08-09,175,78,Brazil,Chelsea
V. Ćorluka,Vedran Ćorluka,33,1986-02-05,192,84,Croatia,Lokomotiv Moscow
M. Arnautović,Marko Arnautović,30,1989-04-19,192,83,Austria,Shanghai SIPG FC
A. Sánchez,Alexis Alejandro Sánchez Sánchez,30,1988-12-19,169,62,Chile,Manchester United
Giuliano,Giuliano Victor de Paula,29,1990-05-31,172,68,Brazil,Al Nassr
A. Kolarov,Aleksandar Kolarov,33,1985-11-10,187,81,Serbia,Roma
M. Balotelli,Mario  Barwuah Balotelli,28,1990-08-12,189,88,Italy,Brescia
Marlos,Marlos Romero Bonfim,31,1988-06-07,174,69,Ukraine,Shakhtar Donetsk
Taison,Taison Barcellos Freda,31,1988-01-13,172,64,Brazil,Shakhtar Donetsk
B. Dost,Bas Dost,30,1989-05-31,196,89,Netherlands,Sporting CP
G. Bonaventura,Giacomo Bonaventura,29,1989-08-22,181,75,Italy,Milan
Pedro,Pedro Eliezer Rodríguez Ledesma,31,1987-07-28,169,65,Spain,Chelsea
L. de Jong,Luuk de Jong,28,1990-08-27,188,86,Netherlands,Sevilla FC
S. El Shaarawy,Stephan El Shaarawy,26,1992-10-27,178,72,Italy,Shanghai Greenland Shenhua FC
Ander Herrera,Ander Herrera Agüera,29,1989-08-14,182,73,Spain,Paris Saint-Germain
X. Shaqiri,Xherdan Shaqiri,27,1991-10-10,169,72,Switzerland,Liverpool
Mário Fernandes,Mário Figueira Fernandes,28,1990-09-19,187,80,Russia,PFC CSKA Moscow
